total_rooms,population,households,median_house_value
880,322,126,452600
7099,2401,1138,358500
1467,496,177,352100
1274,558,219,341300
1627,565,259,342200
919,413,193,269700
2535,1094,514,299200
3104,1157,647,241400
2555,1206,595,226700
3549,1551,714,261100
2202,910,402,281500
3503,1504,734,241800
2491,1098,468,213500
696,345,174,191300
2643,1212,620,159200
1120,697,264,140000
1966,793,331,152500
1228,648,303,155500
2239,990,419,158700
1503,690,275,162900
751,409,166,147500
1639,929,366,159800
2436,1015,478,113900
1688,853,325,99700
2224,1006,422,132600
535,317,119,107500
1130,607,239,93800
1898,1102,397,105500
2082,1131,473,108900
729,395,155,132000
1916,863,378,122300
2153,1168,441,115200
1922,1026,335,110400
1655,754,329,104900
2665,1258,536,109700
1215,570,264,97200
1798,987,374,104500
1511,901,403,103900
1470,689,309,191400
2432,1377,696,176000
1665,946,395,155400
936,517,249,150000
713,462,189,118800
950,467,198,188800
1443,660,292,184400
1656,718,382,182300
1125,616,304,142500
1007,558,253,137500
624,423,160,187500
946,700,352,112500
896,735,438,171900
1868,1061,407,93800
3221,1959,720,97500
1630,1162,400,104200
1170,701,233,87500
945,576,220,83100
1238,622,259,87500
1489,728,244,85300
1387,1074,304,80300
158,94,57,60000
1121,554,187,75700
135,86,23,75000
760,377,122,86100
1224,521,159,76100
828,392,133,73500
1010,604,187,78400
1455,788,332,84400
1027,492,147,81300
572,274,82,85000
2801,1823,611,129200
768,392,127,82500
935,582,277,95200
844,560,152,75000
12,18,7,67500
835,290,133,137500
1237,762,439,177500
2914,1236,509,102100
1207,721,207,108300
1745,1054,325,112500
684,344,155,131300
924,609,289,162500
210,183,56,112500
340,200,87,112500
386,346,155,137500
948,467,169,118800
773,377,115,98200
880,582,380,118800
875,546,330,162500
105,125,39,137500
249,396,85,500001
994,800,362,162500
215,904,88,137500
96,191,34,162500
1055,718,302,187500
1715,1327,467,179200
5329,3469,2323,130000
4596,2048,1180,183800
335,202,91,125000
3682,2024,1250,170000
3633,1838,980,193100
4656,2304,1250,257800
5806,2563,1497,273400
854,389,228,237500
2155,895,613,350000
5871,2689,1789,335700
1509,674,244,313400
2026,709,456,268500
1758,686,422,259400
3481,1444,718,275700
3337,1520,802,225000
1424,550,253,262500
3809,1806,1022,218500
3959,1749,1217,255000
2376,939,519,224100
1613,675,422,243100
1279,534,291,231600
