year,mileage,tax,price
2017,15735,150,12500
2016,36203,20,16500
2016,29946,30,11000
2017,25952,145,16800
2019,1998,145,17300
2016,32260,30,13900
2016,76788,30,13250
2016,75185,20,11750
2015,46112,20,10200
2016,22451,30,12000
2017,28955,145,16100
2016,52198,125,16500
2016,44915,145,17000
2017,21695,30,16400
2015,47348,30,15400
2017,26156,145,14500
2016,28396,145,15700
2014,30516,30,13900
2016,37652,200,19000
2014,34110,145,17000
2017,37100,145,17300
2016,23714,200,20200
2017,21649,145,22500
2015,62748,150,17500
2016,23789,200,20000
2017,17418,145,18500
2017,33300,145,19500
2018,10793,145,15800
2018,25138,145,17200
2015,61176,30,14000
2015,54754,0,9500
2017,21369,125,16500
2014,39190,205,15000
2017,47482,150,16000
2016,40501,150,16900
2014,43195,200,12300
2017,31447,145,10800
2016,34030,125,19400
2017,29063,145,16000
2017,29545,145,17100
2015,75619,20,11300
2016,39603,160,17200
2017,42908,145,20300
2014,83872,125,13200
2016,58750,145,15200
2019,2029,145,15700
2018,22958,145,16600
2017,32097,145,14400
2017,13057,145,20200
2017,20278,145,23700
2016,52561,0,12750
2015,31604,20,13000
2016,32011,145,15900
2016,39134,30,15000
2015,89483,205,14700
2015,56291,200,15000
2016,47767,20,16000
2014,34315,125,11000
2016,66369,0,10200
2016,34110,30,18500
2013,76269,0,7000
2016,37840,20,10600
2017,26249,30,16000
2017,44898,125,15000
2017,67161,150,14000
2018,17992,150,18950
2016,97440,20,10200
2017,19268,150,11700
2013,51441,125,11500
2016,18181,0,10800
2016,19494,30,12500
2016,32808,30,16600
2017,25965,145,13100
2016,88215,20,8300
2019,5704,145,16000
2017,10959,145,16900
2016,30201,200,19600
2017,19319,145,21800
2017,22582,145,16200
2017,20052,145,18700
2016,16666,30,16100
2016,25626,0,11300
2016,10460,20,14100
2016,43307,125,16600
2017,29327,30,11300
2017,36714,125,15600
2014,28324,125,10000
2016,12100,30,14500
2017,18001,145,16100
2016,28760,30,10600
2019,4000,145,25499
2019,7897,145,25499
2016,24744,125,15500
2015,30075,160,16200
2017,12577,30,14000
2016,24421,30,17300
2016,15567,0,10600
2018,15207,145,17500
2017,14864,145,15000
2019,9000,145,25499
2019,5000,145,25000
2019,4264,145,31000
2019,4000,145,28000
2019,4000,145,28000
2019,2721,145,21499
2019,4000,145,26000
2016,49649,235,30000
2017,14068,145,17000
2017,23092,145,14500
2017,30682,160,17500
2016,18272,0,10500
2017,23714,145,14800
2016,71311,30,12000
2018,29477,145,22000
2016,60551,200,17800
2017,42071,30,19800
2014,55774,235,19500
2016,36462,0,9800
2016,25376,30,15500
2017,39388,145,16800
2017,64207,20,11500
2017,49221,145,12100
2017,27179,0,12700
2014,31376,125,11700
2015,62668,145,11500
2017,10001,145,17400
2016,52544,30,16000
2016,63097,125,13100
2016,72967,30,14700
2017,32771,145,21100
2018,13303,145,24400
2019,2752,145,18750
2016,23307,160,16500
2017,34551,150,11000
2017,25457,150,13400
2018,12167,150,20000
2015,23237,20,15400
2016,11863,160,15500
2017,21225,145,14800
2015,32083,30,17100
2017,17039,145,25750
2016,72026,0,11750
2017,34824,0,11200
2017,20351,30,12800
2017,58028,145,16000
2017,44783,145,20000
2014,60604,20,11950
2013,39998,30,9400
2017,20852,30,20000
2016,79728,30,13300
2017,29095,20,18500
2013,98940,0,8300
2016,22780,30,13500
2018,20832,150,19800
2016,29196,145,15400
2017,14392,145,13900
2018,20070,145,15600
2016,89334,30,16200
2016,21428,0,10600
2016,45485,20,14300
2016,32704,30,14700
2018,42209,145,19100
2017,17278,145,18100
2017,29515,0,11400
2014,43662,20,11600
2017,45225,145,17300
2017,45491,30,16400
2014,52267,235,17100
2014,40807,125,11498
2014,65959,160,11698
2014,47648,260,18998
2017,27948,145,25498
2013,31169,145,10498
2013,42011,145,9498
2015,56115,160,19998
2015,65835,125,16798
2017,63383,145,23998
2017,34011,145,36998
2014,52132,160,13998
2015,38787,145,15995
2017,34554,150,13495
2017,17502,145,30985
2019,3000,145,29485
2015,34646,30,16985
2017,18000,150,26485
2018,17085,150,23985
2017,48166,20,12485
2015,38421,205,22485
2015,46637,30,16498
2016,24468,0,11998
2017,29343,200,24985
2019,8449,145,17985
2017,34679,30,20485
2018,23860,145,16985
2018,21009,145,30985
2019,1881,145,29985
2019,688,145,27985
2019,1863,145,30985
2020,10,145,62985
2016,49050,325,44985
2019,1024,145,28985
2019,448,145,24985
2019,476,145,26985
2019,5201,145,39985
2019,2028,145,21985
2019,3241,145,45485
2019,355,145,33985
2019,18,145,28985
2019,3122,145,29985
2019,824,145,28985
2019,2811,145,31985
2019,27,145,31985
2019,4254,145,29485
2019,2252,145,17985
2019,3422,145,20985
2019,37,145,23685
2019,7299,145,27985
2019,1414,145,27985
2019,5135,145,36985
2019,6024,145,37985
2020,10,145,37985
2019,10,145,49985
2019,10,145,59995
2020,10,145,47895
2020,10,145,31985
2015,47606,200,29985
2015,26625,30,12485
2018,5071,145,24985
2015,28011,260,21985
2019,10,145,34985
2019,10,145,29985
2019,10,145,34485
2019,10,145,19685
2019,10,145,34985
2019,10,145,43885
2019,2000,145,35895
2019,10,145,26985
2019,3510,145,46985
2019,10,145,23985
2019,10,145,28985
2019,1010,145,27985
2019,500,145,28985
2019,10,145,29985
2019,10,145,21995
2019,10,145,31985
2019,10,145,32485
2019,10,145,21285
2019,1510,145,56985
2019,10,145,43785
2016,29845,160,18498
2014,27355,160,14995
2016,20885,30,17998
2014,10534,30,10985
2016,25895,20,12995
2016,32867,0,11495
2015,42793,205,18295
2015,49039,160,18998
2017,22501,145,18485
2017,1420,145,38985
2019,10,145,29485
2017,26939,145,22998
2014,24786,205,18998
2017,18761,145,17698
2019,10,145,27995
2019,10,145,31985
2019,10,145,30995
2017,22295,30,18998
2017,18068,145,16995
2018,25000,150,19995
2017,23043,150,14495
2014,80902,125,12998
2019,10,145,32485
2019,10,145,20485
2019,10,145,34485
2016,26474,145,18698
2013,65458,235,15998
2018,34170,150,16498
2019,100,145,31998
2019,650,145,35985
2019,10,145,37985
2019,10,145,31998
2019,2928,145,18998
2018,7157,145,19485
2016,31600,160,19995
2016,46600,300,47995
2019,10,145,23485
2018,14078,145,23998
2015,13312,125,17998
2018,10,145,28985
2015,20982,325,46000
2018,15600,145,26995
